query size,batch_size,model,framework,data loading time,sklearn loading time,inference time,result writing time,conversion time,total framework time
100,100,xgboost,XGBoostGPU,5152.609587,251.1723042,267463.2599,1085.098028,0,268549.5591
1000,1000,xgboost,XGBoostGPU,5139.800549,255.0210953,28263.26156,1155.178547,0,29419.62743
10000,10000,xgboost,XGBoostGPU,5146.714687,252.3396015,4856.033087,1211.561441,0,6068.833351
100000,100000,xgboost,XGBoostGPU,5135.576725,254.7440529,2699.730158,1096.492767,0,3797.477961
2200000,2200000,xgboost,XGBoostGPU,5148.729086,252.3052692,2761.582613,1094.786644,0,3857.59449
